Period,Organisation unit,"Mothers, all deliveries",Total maternal deaths,ANC attendance,Caesarean section deliveries,Labour Referrals In,Labour Referrals Out,ANC Referrals In,ANC Referrals Out,Postnatal Referrals In,Postnatal Referrals Out,SevMalLabCom,SevMalNLabCom,Pneumonia,Hypertensio,Poisoning (Occupational Poisoning),OP-Poisonings,Transport injuries (TA),Septiceamia,Home Injuries(Home Accidents and Injurie,Occupational Inju,Snake Bite,Other Animal Bite,Meningitis,DiarrhDise,Cardiac Diseases,Upper Respiratory Tract Infections,Referrals,
March 2008,Busa Health Center,8,0,70,,,,,,,,,,1,,,,,,3,,3,,,8,,12,,
March 2008,Bamahu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Good Sheperd Maternity Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Nakore CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Gbegru CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Dobile South CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Arch Bishop Dery M. Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Upper West Regional Hospital,218,0,800,43,,,,,,,,653,7,12,,,113,,,,31,,14,2,,,,
March 2008,Bamahu Health Center,,,66,,,,,,,,,,,,,,,,4,,,,,29,,1,,
March 2008,Kpongu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Biihee CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Konta North Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Boli CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Tampalipaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Dandafuro CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Nyagli CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Dobile North CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Upper West Reg. Police Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Jonga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Islamic Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Wa SHS Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Sing CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Konjiehi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Yibile CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Mangu/Sombo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Ahamadiya (wa) Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Kunbiehi CHPS,,,35,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Kperisi CHPS,1,0,56,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Kambali Health Center,,,164,,,,,,,,,,,,,,10,,29,,,,,1,,22,,
April 2008,Wa Urban Health Center,14,0,157,,,,,1,,,,,1,,,,,,12,,1,,,96,4,77,,
April 2008,Dondoli CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Charingu Health Center,6,0,57,,,,,,,,,,,,,,2,,7,,,,,14,,28,6,
April 2008,Charia Health Center,6,0,47,,,1,,,,,,,7,,,,2,,12,,,3,,18,,11,4,
April 2008,Piisi (wa) CHPS,7,0,9,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Adolescent Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Wa Market Clinic,,,175,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Al-ahzar Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Busa Health Center,,,74,,,1,,1,,,,,,,,,3,,,,,,,7,,5,,
April 2008,Bamahu CHPS,35,0,60,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Good Sheperd Maternity Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Nakore CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Gbegru CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Dobile South CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Arch Bishop Dery M. Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Upper West Regional Hospital,231,0,759,44,,,,,,,,910,23,20,,,123,,1,,16,22,2,6,,48,,
April 2008,Bamahu Health Center,,,,,,,,,,,,,,,,,,,7,,,,,11,,12,,
April 2008,Kpongu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Biihee CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Konta North Clinic,,,40,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Boli CHPS,9,0,22,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Tampalipaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Dandafuro CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Nyagli CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Dobile North CHPS,,,17,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Upper West Reg. Police Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Jonga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Islamic Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Wa SHS Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Sing CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Konjiehi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Yibile CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Mangu/Sombo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Ahamadiya (wa) Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Kunbiehi CHPS,,,27,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Kperisi CHPS,,,59,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Kambali Health Center,,,221,,,,,,,,,,,,,,3,,24,,,2,,3,,48,,
May 2008,Wa Urban Health Center,36,0,243,2,,3,,,,,,,4,,,,1,,5,,,,,48,,112,21,
May 2008,Dondoli CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Charingu Health Center,,,,,,,,,,,,,2,5,,,3,,15,,,,,12,,24,,
May 2008,Charia Health Center,9,0,46,,,,,,,,,,7,3,,,3,,21,,,1,,18,,19,3,
May 2008,Piisi (wa) CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Adolescent Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Wa Market Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Al-ahzar Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Busa Health Center,10,0,99,,,,,,,,,,8,,,,4,,,,3,,,7,,,,
May 2008,Bamahu CHPS,,,56,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Good Sheperd Maternity Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Nakore CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Gbegru CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Dobile South CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Arch Bishop Dery M. Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Upper West Regional Hospital,244,1,618,39,,,,,,,,1045,18,7,,,101,,3,,35,32,,14,,48,,
May 2008,Bamahu Health Center,,,,,,,,,,,,,,,,,2,,2,,1,,,5,,,4,
May 2008,Kpongu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Biihee CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Konta North Clinic,,,50,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Boli CHPS,5,0,23,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Tampalipaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Dandafuro CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Nyagli CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Dobile North CHPS,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Upper West Reg. Police Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Jonga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Islamic Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Wa SHS Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Sing CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Konjiehi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Yibile CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Mangu/Sombo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Ahamadiya (wa) Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Kunbiehi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Kperisi CHPS,1,0,61,,,1,,1,,,,,,,,,,,,,,,,,,,,
June 2008,Kambali Health Center,,,261,,,,,3,,,,,,,,,,,18,,,2,,2,,48,,
June 2008,Wa Urban Health Center,30,0,358,,,,,,,,,,,,,,,,,,,1,,169,,361,11,
June 2008,Dondoli CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Charingu Health Center,1,0,41,,,,,,,,,,,,,,,,9,,3,,,18,,24,,
June 2008,Charia Health Center,3,0,54,,,1,,1,,,,,15,4,,,,,22,,,,,7,,,9,
June 2008,Piisi (wa) CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Adolescent Health Center,,,13,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Wa Market Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Al-ahzar Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Busa Health Center,5,0,83,,,,,,,,,,3,2,,,,,,,,1,,16,,20,,
June 2008,Bamahu CHPS,,,92,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Good Sheperd Maternity Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Nakore CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Gbegru CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Dobile South CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Arch Bishop Dery M. Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Upper West Regional Hospital,190,2,508,40,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Bamahu Health Center,,,,,,,,,,,,,,,,,,,5,,,,,20,,11,,
June 2008,Kpongu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Biihee CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Konta North Clinic,,,42,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Boli CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Tampalipaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Dandafuro CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Nyagli CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Dobile North CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Upper West Reg. Police Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Jonga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Islamic Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Wa SHS Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Sing CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Konjiehi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Yibile CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Mangu/Sombo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Ahamadiya (wa) Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Kunbiehi CHPS,,,16,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Kperisi CHPS,,,56,,,,,,,,,,,,,,,,4,,,,,19,,27,4,
July 2008,Kambali Health Center,,,,,,,,,,,,,,,,,19,,14,,,5,,,,71,5,
July 2008,Wa Urban Health Center,29,0,356,,,,,,,,,,26,,,,4,,13,,,,,57,,146,7,
July 2008,Dondoli CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Charingu Health Center,3,0,101,,,,,,,,,,,,,,,,10,,4,,,20,,42,,
July 2008,Charia Health Center,9,0,69,,,,,,,,,,24,2,,,3,,9,,,,,9,,37,12,
July 2008,Piisi (wa) CHPS,,,13,,,,,,,,,,,,,,,,1,,,,,6,,2,2,
July 2008,Adolescent Health Center,,,14,,,,,,,,,,,,,,,,3,,,,,43,,223,,
July 2008,Wa Market Clinic,,,123,,,,,,,,,,,1,,,,,,,,,,18,,40,,
July 2008,Al-ahzar Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Busa Health Center,8,0,136,,,,,,,,,,1,,,,1,,,,2,1,,21,,10,,
July 2008,Bamahu CHPS,,,88,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Good Sheperd Maternity Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Nakore CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Gbegru CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Dobile South CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Arch Bishop Dery M. Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Upper West Regional Hospital,207,3,599,43,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Bamahu Health Center,,,,,,,,,,,,,,,,,,,4,,,,,18,,11,,
July 2008,Kpongu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Biihee CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Konta North Clinic,,,40,,,,,,,,,,,,,,1,,,,,,,17,,22,,
July 2008,Boli CHPS,,,27,,,,,,,,,,,,,,,,,,,,,4,,6,,
July 2008,Tampalipaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Dandafuro CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Nyagli CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Dobile North CHPS,,,15,,,,,,,,,,,,,,,,,,,,,3,,7,,
August 2008,Upper West Reg. Police Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Jonga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Islamic Hospital,,,,,,,,,,,,,,69,,,4,,2,,,,,3,,,13,
August 2008,Wa SHS Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Sing CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Konjiehi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Yibile CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Mangu/Sombo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Ahamadiya (wa) Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Kunbiehi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Kperisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Kambali Health Center,,,273,,,,,,,,,,,,,,8,,8,,,2,,,,71,6,
August 2008,Wa Urban Health Center,34,0,533,,,,,,,,,,13,1,,,5,,6,,,1,,36,,284,11,
August 2008,Dondoli CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Charingu Health Center,,,102,,,,,,,,,,,,,,,,10,,1,,,14,,52,,
August 2008,Charia Health Center,6,0,73,,,,,,,,,,23,1,,,2,,8,,,1,,14,,76,14,
August 2008,Piisi (wa) CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Adolescent Health Center,,,,,,,,,,,,,,,,,,,2,,,,,98,,376,,
August 2008,Wa Market Clinic,,,,,,,,,,,,,,,,,,,,,,,,2,,55,,
August 2008,Al-ahzar Clinic,,,,,,,,,,,,,3,8,,,,,,,,,,5,,,,
August 2008,Busa Health Center,7,0,101,,,,,,,,,,3,,,,,,2,,,,,11,,,,
August 2008,Bamahu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Good Sheperd Maternity Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Nakore CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Gbegru CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Dobile South CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Arch Bishop Dery M. Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Upper West Regional Hospital,214,1,621,31,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Bamahu Health Center,,,116,,,,,,,,,,2,,,,1,,3,,,1,,15,,15,1,
August 2008,Kpongu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Biihee CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Konta North Clinic,,,,,,,,,,,,,,,,,,,,,,,,13,,46,,
August 2008,Boli CHPS,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,
August 2008,Tampalipaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Dandafuro CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Nyagli CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Dobile North CHPS,,,,,,,,,,,,,,,,,,,,,,,,4,,22,,
September 2008,Upper West Reg. Police Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Jonga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
