Period,Organisation unit,"Mothers, all deliveries",Total maternal deaths,ANC attendance,Caesarean section deliveries,Labour Referrals In,Labour Referrals Out,ANC Referrals In,ANC Referrals Out,Postnatal Referrals In,Postnatal Referrals Out,SevMalLabCom,SevMalNLabCom,Pneumonia,Hypertensio,Poisoning (Occupational Poisoning),OP-Poisonings,Transport injuries (TA),Septiceamia,Home Injuries(Home Accidents and Injurie,Occupational Inju,Snake Bite,Other Animal Bite,Meningitis,DiarrhDise,Cardiac Diseases,Upper Respiratory Tract Infections,Referrals,
January 2008,Degri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Tizza Health centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Tampaala CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Yagha Health Centre,4,0,28,,,,,,,,,,,,,,,,,,,,,,1,4,9,
February 2008,Ullo Health Centre,8,0,39,,,,,,,,,,,,,,5,,4,,,1,,11,,42,5,
February 2008,Tamapuo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Sabuli Health Centre,3,0,50,,,,,,,,,,9,,,,,,,,3,1,,20,,4,10,
February 2008,Jirapa Urban Health Center,,,70,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Saawie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Duori Health Centre,3,0,50,,,,,,,,,,3,,,,1,,,,,1,,13,,6,,
February 2008,Ulkpong CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Gbare CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Nambeg CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Somboro CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Ping CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Sigri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,St. Joseph's Hospital,52,0,238,10,,,,,,,,,16,73,,,17,,1,,2,20,,20,,102,,
February 2008,Kuncheni CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Chapuri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Tuggo Health Centre,7,0,58,,,,,,,,,,,1,,,,,,,,2,,4,,,2,
February 2008,Kogri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Guoripuo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Degri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Tizza Health centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Tampaala CHPS,,,17,,,,,,,,,,10,,,,,,,,,,,5,,,,
March 2008,Yagha Health Centre,7,0,64,,,,,,,,,,,,,,,,,,1,,,,,14,10,
March 2008,Ullo Health Centre,13,0,31,,,,,,,,,,2,1,,,1,,5,,,,,4,,48,,
March 2008,Tamapuo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Sabuli Health Centre,6,0,37,,,,,,,,,,6,,,,2,,,,3,,,19,,41,19,
March 2008,Jirapa Urban Health Center,,,75,,,,,,,,,,,,,,,,,,,,,16,,,,
March 2008,Saawie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Duori Health Centre,6,0,47,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Ulkpong CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Gbare CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Nambeg CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Somboro CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Ping CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Sigri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,St. Joseph's Hospital,76,0,275,19,,,,,,,,,13,47,,,52,,,,10,15,3,17,3,87,,
March 2008,Kuncheni CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Chapuri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Tuggo Health Centre,6,0,72,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kogri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Guoripuo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Degri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Tizza Health centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Tampaala CHPS,1,0,15,,,,,,,,,,4,,,,,,2,,,1,,11,,57,3,
April 2008,Yagha Health Centre,3,0,35,,,,,,,,,,6,,,,1,,4,,2,1,,8,,40,10,
April 2008,Ullo Health Centre,10,0,46,,,,,,,,,,,,,,3,,4,,,,,6,,38,4,
April 2008,Tamapuo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Sabuli Health Centre,8,0,39,,,,,,,,,,6,1,,,1,,,,5,,,21,,8,7,
April 2008,Jirapa Urban Health Center,,,57,,,,,,,,,,,,,,,,,,,,,54,,,,
April 2008,Saawie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Duori Health Centre,10,0,37,,,,,,,,,,2,1,,,6,,4,,,,,5,,3,12,
April 2008,Ulkpong CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Gbare CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Nambeg CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Somboro CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Ping CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Sigri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,St. Joseph's Hospital,86,1,322,20,,,,,,,,,13,40,,,17,,1,,15,13,,28,1,60,,
April 2008,Kuncheni CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Chapuri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Tuggo Health Centre,9,0,57,,,,,,,,,,,2,,,,,5,,,,,15,,49,2,
April 2008,Kogri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Guoripuo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Degri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Tizza Health centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Tampaala CHPS,1,0,20,,,,,,,,,,,,,,,,,,,,,1,,20,3,
May 2008,Yagha Health Centre,9,0,14,,,,,,,,,,,,,,,,5,,,,,,,11,6,
May 2008,Ullo Health Centre,12,0,33,,,,,,,,,,1,,,,3,,3,,,,,7,,,,
May 2008,Tamapuo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Sabuli Health Centre,8,0,37,,,,,,,,,,18,2,,,1,,,,1,1,,9,,12,8,
May 2008,Jirapa Urban Health Center,,,108,,,,,,,,,,2,3,,,,,,,,,,13,,29,3,
May 2008,Saawie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Duori Health Centre,2,0,35,,,,,,,,,,3,,,,,,2,,,,,3,,2,12,
May 2008,Ulkpong CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Gbare CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Nambeg CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Somboro CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Ping CHPS,,,,,,,,,,,,,,,,,,,1,,,,,1,,10,2,
May 2008,Sigri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,St. Joseph's Hospital,93,1,257,19,,,,,,,,,16,35,,,23,,7,,13,11,1,19,1,74,,
May 2008,Kuncheni CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Chapuri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Tuggo Health Centre,,,,,,,,,,,,,,4,,,1,,5,,,,,8,,16,3,
May 2008,Kogri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Guoripuo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Degri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Tizza Health centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Tampaala CHPS,,,16,,,,,,,,,,,,,,,,1,,,,,3,,25,,
June 2008,Yagha Health Centre,,,,,,,,,,,,,,,,,,,2,,4,,,4,,14,8,
June 2008,Ullo Health Centre,4,0,22,,,,,,,,,,2,,,,8,,2,,,,,5,,14,12,
June 2008,Tamapuo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Sabuli Health Centre,5,0,43,,,,,,,,,,9,,,,16,,,,3,,,10,,11,8,
June 2008,Jirapa Urban Health Center,,,54,,,,,,,,,,,,,,,,1,,,,,5,,27,,
June 2008,Saawie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Duori Health Centre,3,0,33,,,,,,,,,,4,1,,,1,,2,,,,,10,,1,7,
June 2008,Ulkpong CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Gbare CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Nambeg CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Somboro CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Ping CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Sigri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,St. Joseph's Hospital,81,0,307,21,,,,,,,,,3,22,,,25,,6,,32,13,,14,5,56,,
June 2008,Kuncheni CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Chapuri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Tuggo Health Centre,3,0,27,,,,,,,,,,1,4,,,1,,3,,,,,3,,10,4,
June 2008,Kogri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Guoripuo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Degri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Tizza Health centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Tampaala CHPS,,,16,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Yagha Health Centre,2,0,24,,,,,,,,,,,,,,,,4,,1,,,5,,21,11,
July 2008,Ullo Health Centre,5,0,55,,,,,,,,,,12,,,,3,,3,,,,,6,,,9,
July 2008,Tamapuo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Sabuli Health Centre,5,0,42,,,,,,,,,,19,,,,1,,,,,,,25,,4,7,
July 2008,Jirapa Urban Health Center,,,84,,,,,,,,,,4,1,,,,,3,,,2,,35,,84,8,
July 2008,Saawie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Duori Health Centre,5,0,14,,,,,,,,,,13,1,,,,,4,,,1,,18,,1,9,
July 2008,Ulkpong CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Gbare CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Nambeg CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Somboro CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Ping CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Sigri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,St. Joseph's Hospital,68,0,227,15,,,,,,,,,20,31,,,19,,7,,13,8,,16,,112,,
July 2008,Kuncheni CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Chapuri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Tuggo Health Centre,4,0,50,,,,,,,,,,1,4,,,3,,,,,,,12,,26,6,
July 2008,Kogri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Guoripuo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Degri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Tizza Health centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Tampaala CHPS,,,14,,,,,,,,,,,,,,,,3,,,,,9,,51,5,
August 2008,Yagha Health Centre,4,0,28,,,,,,,,,,,,,,1,,4,,,,,2,,45,6,
August 2008,Ullo Health Centre,10,0,46,,,,,,,,,,3,,,,2,,5,,,2,,8,,19,14,
August 2008,Tamapuo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Sabuli Health Centre,4,0,46,,,,,,,,,,9,,,,13,,,,,,,17,,12,12,
August 2008,Jirapa Urban Health Center,,,68,,,,,,,,,,,2,,,,,,,,2,,56,,127,,
August 2008,Saawie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Duori Health Centre,5,0,44,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Ulkpong CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Gbare CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Nambeg CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Somboro CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Ping CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Sigri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,St. Joseph's Hospital,68,0,239,13,,,,,,,,,11,18,,,16,,6,,11,16,,4,1,163,,
August 2008,Kuncheni CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Chapuri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Tuggo Health Centre,,,,,,,,,,,,,2,6,,,,,5,,,,,4,,41,6,
August 2008,Kogri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Guoripuo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Degri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Tizza Health centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Tampaala CHPS,,,13,,,,,,,,,,7,,,,1,,,,,,,36,,,3,
September 2008,Yagha Health Centre,2,0,28,,,,,,,,,,,,,,1,,3,,1,,,2,,33,10,
September 2008,Ullo Health Centre,14,0,62,,,,,,,,,,1,,,,6,,6,,,1,,4,1,32,,
September 2008,Tamapuo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Sabuli Health Centre,9,0,47,,,,,,,,,,41,,,,,,1,,,,,16,,21,7,
September 2008,Jirapa Urban Health Center,1,0,137,,,,,,,,,,14,,,,,,,,,2,,33,,172,24,
September 2008,Saawie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Duori Health Centre,9,0,46,,,,,,,,,,22,,,,,,,,,,,8,,31,20,
September 2008,Ulkpong CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Gbare CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Nambeg CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Somboro CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Ping CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Sigri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,St. Joseph's Hospital,115,1,244,25,,,,,,,,,50,45,,,28,,3,,6,21,,14,,177,,
September 2008,Kuncheni CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Chapuri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Tuggo Health Centre,4,0,53,,,,,,,,,,,6,,,,,2,,2,,,13,,27,,
September 2008,Kogri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Guoripuo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Degri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Tizza Health centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Tampaala CHPS,,,15,,,,,,,,,,4,,,,,,2,,,1,,11,,55,3,
October 2008,Yagha Health Centre,2,0,29,,,,,,,,,,6,,,,1,,4,,2,1,,8,,40,15,
October 2008,Ullo Health Centre,14,0,41,,,,,,,,,,3,,,,,,4,,1,2,,9,,,,
October 2008,Tamapuo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Sabuli Health Centre,8,0,51,,,,,,,,,,43,,,,,,,,,,,22,,14,14,
October 2008,Jirapa Urban Health Center,1,1,64,,,,,,,,,,3,,,,,,,,,,,54,,1,,
October 2008,Saawie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Duori Health Centre,12,0,32,,,,,,,,,,6,,,,2,,3,,,1,,8,,25,17,
October 2008,Ulkpong CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Gbare CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Nambeg CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Somboro CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Ping CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Sigri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,St. Joseph's Hospital,96,0,190,15,,,,,,,,,37,35,,,22,,2,,7,27,,16,,164,,
October 2008,Kuncheni CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Chapuri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Tuggo Health Centre,14,0,57,,,,,,,,,,,2,,,,,5,,,,,15,,49,2,
October 2008,Kogri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Guoripuo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Degri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Tizza Health centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Tampaala CHPS,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Yagha Health Centre,4,0,42,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Ullo Health Centre,14,0,46,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Tamapuo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Sabuli Health Centre,6,0,36,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Jirapa Urban Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Saawie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Duori Health Centre,5,0,20,,,,,,,,,,5,,,,3,,,,,,,4,,7,23,
November 2008,Ulkpong CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Gbare CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Nambeg CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Somboro CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Ping CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Sigri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,St. Joseph's Hospital,71,2,242,12,,,,,,,,,48,18,,,46,,2,,5,17,,4,,176,,
November 2008,Kuncheni CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Chapuri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Tuggo Health Centre,3,0,28,,,,,,,,,,1,7,,,5,,,,2,,,4,,35,,
November 2008,Kogri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Guoripuo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Degri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Tizza Health centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Tampaala CHPS,,,15,,,,,,,,,,,,,,,,,,,,,2,,25,,
December 2008,Yagha Health Centre,4,0,47,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Ullo Health Centre,4,0,53,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Tamapuo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Sabuli Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Jirapa Urban Health Center,,,,,,,,,,,,,4,1,,,,,9,,,112,,24,,,2,
December 2008,Saawie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Duori Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Ulkpong CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Gbare CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Nambeg CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Somboro CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Ping CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Sigri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,St. Joseph's Hospital,64,0,271,6,,,,,,,,,21,13,,,32,,,,4,17,,6,,171,,
December 2008,Kuncheni CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Chapuri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Tuggo Health Centre,2,0,48,,,,,,,,,,3,,,,,,5,,,,1,4,,23,,
December 2008,Kogri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Guoripuo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Degri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Tizza Health centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Tampaala CHPS,,,14,,,,,,,,,,,,,,,,1,,,,,3,,26,2,
January 2009,Yagha Health Centre,8,0,6,,,,,,,,,,1,,,,,,5,,,,,6,,16,4,
January 2009,Ullo Health Centre,11,0,40,,,1,,,,,,,5,,,,,,8,,,1,,7,,12,,
January 2009,Tamapuo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Sabuli Health Centre,4,0,50,,,4,,,,,,,17,2,,,2,,3,,1,,,20,,12,13,
January 2009,Jirapa Urban Health Center,,,99,,,,,,,,,,7,,,,,,,,1,1,,23,,86,4,
January 2009,Saawie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Duori Health Centre,3,0,51,,,,,,,,,,7,,,,,,3,,,,,,,10,7,
January 2009,Ulkpong CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Gbare CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Nambeg CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Somboro CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Ping CHPS,,,21,,,,,,,,,,,,,,1,,,,,,,3,,22,1,
January 2009,Sigri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,St. Joseph's Hospital,52,0,253,8,,,,,,,,,18,26,,,53,,4,,5,24,,7,,197,,
January 2009,Kuncheni CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Chapuri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Tuggo Health Centre,5,0,48,,,,,,,,,,4,4,,,,,4,,,,,13,2,19,,
January 2009,Kogri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Guoripuo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Degri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2009,Tizza Health centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2009,Tampaala CHPS,,,21,,,,,,,,,,,,,,,,,,,,,6,,24,,
February 2009,Yagha Health Centre,6,0,61,,,1,,,,,,,2,,,,4,,,,,1,,8,,8,7,
February 2009,Ullo Health Centre,12,0,47,,,,,,,,,,1,2,,,1,,3,,,1,,23,,34,3,
February 2009,Tamapuo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2009,Sabuli Health Centre,4,0,40,,,1,,,,,,,,,,,,,,,,,,27,,,18,
February 2009,Jirapa Urban Health Center,,,73,,,,,,,,,,6,,,,10,,,,,,,35,,144,6,
February 2009,Saawie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
