Period,Organisation unit,"Mothers, all deliveries",Total maternal deaths,ANC attendance,Caesarean section deliveries,Labour Referrals In,Labour Referrals Out,ANC Referrals In,ANC Referrals Out,Postnatal Referrals In,Postnatal Referrals Out,SevMalLabCom,SevMalNLabCom,Pneumonia,Hypertensio,Poisoning (Occupational Poisoning),OP-Poisonings,Transport injuries (TA),Septiceamia,Home Injuries(Home Accidents and Injurie,Occupational Inju,Snake Bite,Other Animal Bite,Meningitis,DiarrhDise,Cardiac Diseases,Upper Respiratory Tract Infections,Referrals,
July 2008,Manga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Bazua Clinic,,,120,,,,,,,,,,,,,,,,,,,,,1,,3,1,
August 2008,Bansi CHPS,,,,,,,,,,,,,,,,,,,,,,,,4,,4,5,
August 2008,Zawse CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Asugtaaba Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Goore Clinic,,,,,,,,,,,,,4,,,,3,,1,,,,,51,,28,5,
August 2008,Binduri Health Centre,15,0,394,,,1,,,,,,,,,,,4,,,,,1,,48,,47,4,
August 2008,Nafkolga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Azum-Sapeliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Aniisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Kukparigu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Manga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Bazua Clinic,,,146,,,,,,,,,,,,,,,,,,,,,4,,1,,
September 2008,Bansi CHPS,,,,,,,,,,,,,,,,,,,,,,,,18,,6,2,
September 2008,Zawse CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Asugtaaba Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Goore Clinic,,,,,,,,,,,,,2,1,,,2,,2,,,,,58,,59,3,
September 2008,Binduri Health Centre,33,0,277,,,3,,,,,,,,,,,1,,2,,,,,47,,101,5,
September 2008,Nafkolga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Azum-Sapeliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Aniisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Kukparigu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Manga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Bazua Clinic,,,97,,,,,,,,,,,,,,1,,,,,,,,,,,
October 2008,Bansi CHPS,,,,,,,,,,,,,,,,,,,,,,,,8,,8,2,
October 2008,Zawse CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Asugtaaba Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Goore Clinic,,,,,,,,,,,,,5,,,,2,,3,,,,,45,1,80,4,
October 2008,Binduri Health Centre,40,0,311,,,1,,,,,,,12,1,,,6,,3,,,,,27,,177,5,
October 2008,Nafkolga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Azum-Sapeliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Aniisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Kukparigu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Manga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Bazua Clinic,,,135,,,,,1,,,,,,,,,2,,,,,,,2,,2,1,
November 2008,Bansi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
November 2008,Zawse CHPS,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
November 2008,Asugtaaba Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Goore Clinic,,,,,,,,,,,,,,,,,4,,2,,,,,23,,74,,
November 2008,Binduri Health Centre,29,0,252,,,,,,,,,,2,,,,7,,2,,,,,18,,173,8,
November 2008,Nafkolga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Azum-Sapeliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Aniisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Kukparigu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Manga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Bazua Clinic,,,76,,,,,2,,,,,,,,,2,,,,,,,3,,,,
December 2008,Bansi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
December 2008,Zawse CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Asugtaaba Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Goore Clinic,,,,,,,,,,,,,1,,,,,,,,,,,14,,41,,
December 2008,Binduri Health Centre,36,0,136,,,,,,,,,,4,1,,,6,,1,,,2,,46,,300,2,
December 2008,Nafkolga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Azum-Sapeliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Aniisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Kukparigu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Manga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Bazua Clinic,,,51,,,,,,,,,,,,,,,,,,,,,,,1,,
January 2009,Bansi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,
January 2009,Zawse CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
January 2009,Asugtaaba Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Goore Clinic,,,,,,,,,,,,,,3,,,2,,1,,,,,12,,30,2,
January 2009,Binduri Health Centre,27,0,244,,,2,,,,,,,,,,,6,,5,,,1,,24,,77,3,
January 2009,Nafkolga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Azum-Sapeliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Aniisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Kukparigu CHPS,,,,,,,,,,,,,,,,,,,,,,,,2,,4,,
January 2009,Manga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Bazua Clinic,1,0,103,,,,,,,,,,,,,,4,,,,,,,,,1,,
February 2009,Bansi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2009,Zawse CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2009,Asugtaaba Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2009,Goore Clinic,,,,,,,,,,,,,2,1,,,4,,2,,,,,25,,36,2,
February 2009,Binduri Health Centre,31,0,205,,,1,,,,,,,,37,,,8,,2,,1,2,,16,,116,11,
February 2009,Nafkolga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2009,Azum-Sapeliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2009,Aniisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2009,Kukparigu CHPS,,,,,,,,,,,,,,,,,,,,,,,,8,,19,1,
February 2009,Manga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2009,Bazua Clinic,2,0,108,,,,,,,,,,,,,,,,,,,,,,,,,
March 2009,Bansi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2009,Zawse CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2009,Asugtaaba Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2009,Goore Clinic,,,,,,,,,,,,,,,,,4,,,,,,,14,,13,1,
March 2009,Binduri Health Centre,30,0,176,,,3,,,,,,,,,,,4,,3,,,,,27,,102,9,
March 2009,Nafkolga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2009,Azum-Sapeliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2009,Aniisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2009,Kukparigu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,10,,
March 2009,Manga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2009,Bazua Clinic,15,0,101,,,,,,,,,,,,,,,,,,,,,,,,,
April 2009,Bansi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
April 2009,Zawse CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2009,Asugtaaba Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2009,Goore Clinic,,,,,,,,,,,,,,,,,2,,3,,,,,9,,28,1,
April 2009,Binduri Health Centre,30,0,238,,,2,,1,,,,,,,,,8,,7,,,2,,8,,78,3,
April 2009,Nafkolga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2009,Azum-Sapeliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2009,Aniisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2009,Kukparigu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2009,Manga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2009,Bazua Clinic,7,0,197,,,3,,2,,,,,,,,,,,,,,,,,,,,
May 2009,Bansi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2009,Zawse CHPS,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
May 2009,Asugtaaba Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2009,Goore Clinic,,,,,,,,,,,,1,2,,,,1,,1,,1,,,14,,18,2,
May 2009,Binduri Health Centre,33,0,239,,,1,,,,,,,1,,,,,,7,,,4,,23,,60,9,
May 2009,Nafkolga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2009,Azum-Sapeliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2009,Aniisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2009,Kukparigu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2009,Manga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2009,Bazua Clinic,7,0,133,,,2,,5,,,,,,,,,,,,,,,,,,,,
June 2009,Bansi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
June 2009,Zawse CHPS,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
June 2009,Asugtaaba Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2009,Goore Clinic,,,,,,,,,,,,,,,,,2,,2,,,,,14,,6,,
June 2009,Binduri Health Centre,16,0,232,,,1,,,,,,,,3,,,7,,9,,2,1,,31,,27,5,
June 2009,Nafkolga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2009,Azum-Sapeliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2009,Aniisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2009,Kukparigu CHPS,,,,,,,,,,,,,,,,,,,,,,,,3,,5,,
June 2009,Manga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2009,Bazua Clinic,12,0,187,,,3,,2,,,,,,,,,,,,,,,,1,,,,
July 2009,Bansi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
July 2009,Zawse CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2009,Asugtaaba Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2009,Goore Clinic,,,,,,,,,,,6,5,,1,,,,,5,,,,,49,,86,4,
July 2009,Binduri Health Centre,33,0,337,,,,,,,,,,,5,,,9,,14,,,2,,22,,73,11,
July 2009,Nafkolga CHPS,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
July 2009,Azum-Sapeliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2009,Aniisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2009,Kukparigu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2009,Manga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2009,Bazua Clinic,4,0,143,,,,,,,,,,,,,,,,,,,,,,,,,
August 2009,Bansi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,13,,
August 2009,Zawse CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2009,Asugtaaba Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2009,Goore Clinic,,,,,,,,,,,2,,1,,,,4,,,,,1,,81,,94,3,
August 2009,Binduri Health Centre,32,0,284,,,1,,,,,1,,,2,,,10,,2,,,1,,40,,142,9,
August 2009,Nafkolga CHPS,,,,,,,,,,,,,,,,,,,,,,,,9,,,,
August 2009,Azum-Sapeliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2009,Aniisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2009,Kukparigu CHPS,,,,,,,,,,,,,,,,,,,,,,,,8,,24,,
August 2009,Manga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
August 2009,Bazua Clinic,4,0,173,,,1,,2,,,,,,,,,1,,,,,,,20,,12,6,
September 2009,Bansi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2009,Zawse CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2009,Asugtaaba Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2009,Goore Clinic,,,,,,,,,,,,2,,1,,,1,,3,,,,,91,,146,5,
September 2009,Binduri Health Centre,39,0,252,,,1,,,,,1,,,,,,3,,6,,1,1,,27,,334,9,
September 2009,Nafkolga CHPS,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,
September 2009,Azum-Sapeliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2009,Aniisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2009,Kukparigu CHPS,,,,,,,,,,,,43,,,,,,,,,,,,17,,42,,
September 2009,Manga CHPS,,,,,,,,,,,,9,,,,,,,,,,,,,,11,,
September 2009,Bazua Clinic,,,124,,,,,,,,,,,13,,,3,,1,,,,,11,,53,7,
October 2009,Bansi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
October 2009,Zawse CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2009,Asugtaaba Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2009,Goore Clinic,,,,,,,,,,,,8,,,,,4,,6,,,,,79,,201,4,
October 2009,Binduri Health Centre,37,0,241,,,1,,,,,,,6,,,,8,,6,,1,,,16,,259,7,
October 2009,Nafkolga CHPS,,,,,,,,,,,,,,,,,,,,,,,,3,,3,3,
October 2009,Azum-Sapeliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2009,Aniisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2009,Kukparigu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,18,,
October 2009,Manga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,9,,
October 2009,Bazua Clinic,2,0,107,,,,,,,,,,,,,,,,,,,,,,,,,
November 2009,Bansi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2009,Zawse CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2009,Asugtaaba Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2009,Goore Clinic,,,,,,,,,,,,5,,,,,1,,5,,,,,33,,139,2,
November 2009,Binduri Health Centre,30,0,198,,,1,,,,,,,2,1,,,8,,20,,,1,,17,,192,6,
November 2009,Nafkolga CHPS,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,
November 2009,Azum-Sapeliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2009,Aniisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2009,Kukparigu CHPS,,,,,,,,,,,,,,,,,,,,,,,,4,,35,,
November 2009,Manga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,7,,
November 2009,Bazua Clinic,3,0,147,,,1,,,,,,,2,8,,,3,,,,,,,2,,6,3,
December 2009,Bansi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
December 2009,Zawse CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2009,Asugtaaba Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2009,Goore Clinic,,,,,,,,,,,,2,,1,,,1,,1,,,,,33,,58,1,
December 2009,Binduri Health Centre,41,0,258,,,1,,1,,,,,1,4,,,8,,13,,,2,,19,,112,4,
December 2009,Nafkolga CHPS,,,,,,,,,,,,,,,,,,,,,,,,4,,1,5,
December 2009,Azum-Sapeliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2009,Aniisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2009,Kukparigu CHPS,,,,,,,,,,,,,,,,,,,,,,,,11,,29,,
December 2009,Manga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2009,Bazua Clinic,6,0,119,,,,,2,,,,,,,,,1,,2,,,,,,,3,2,
January 2010,Bansi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
January 2010,Zawse CHPS,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,
January 2010,Asugtaaba Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2010,Goore Clinic,,,,,,,,,,,,3,,,,,2,,1,,,,,18,,32,1,
January 2010,Binduri Health Centre,48,0,301,,,2,,,,,,,4,6,,2,7,,9,,,1,2,17,,94,5,
January 2010,Nafkolga CHPS,,,,,,,,,,,,,,,,,,,,,,,,6,,,2,
January 2010,Azum-Sapeliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2010,Aniisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2010,Kukparigu CHPS,,,,,,,,,,,,,,,,,,,,,,,,5,,28,,
January 2010,Manga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
January 2010,Bazua Clinic,5,0,213,,,,,,,,,,,,,,3,,,,,,,,,5,22,
February 2010,Bansi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,4,,
February 2010,Zawse CHPS,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
February 2010,Asugtaaba Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2010,Goore Clinic,,,,,,,,,,,,6,,,,,2,,10,,,,,29,,108,,
February 2010,Binduri Health Centre,40,0,298,,,1,,1,,,,,,1,,,1,,8,,,1,,10,,107,1,
February 2010,Nafkolga CHPS,,,,,,,,,,,,,,,,,,,,,,,,3,,,4,
February 2010,Azum-Sapeliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2010,Aniisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2010,Kukparigu CHPS,,,,,,,,,,,,,,,,,,,2,,,,,3,,43,,
February 2010,Manga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2010,Bazua Clinic,13,0,237,,,1,,2,,,,,,11,,,1,,,,,,,5,,9,,
March 2010,Bansi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
March 2010,Zawse CHPS,,,27,,,,,,,,,,,,,,,,,,,,,,,,,
March 2010,Asugtaaba Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2010,Goore Clinic,,,,,,,,,,,,247,1,1,,,3,,,,,,,22,,124,3,
March 2010,Binduri Health Centre,45,0,154,,,1,,,,,,,3,,,,6,,12,,,,,14,,142,6,
March 2010,Nafkolga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2010,Azum-Sapeliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2010,Aniisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2010,Kukparigu CHPS,,,,,,,,,,,,,,,,,,,1,,,,,21,,51,,
March 2010,Manga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2010,Bazua Clinic,10,0,148,,,2,,,,,,,,,,,7,,,,,,,1,,29,7,
April 2010,Bansi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
