Period,Organisation unit,"Mothers, all deliveries",Total maternal deaths,ANC attendance,Caesarean section deliveries,Labour Referrals In,Labour Referrals Out,ANC Referrals In,ANC Referrals Out,Postnatal Referrals In,Postnatal Referrals Out,SevMalLabCom,SevMalNLabCom,Pneumonia,Hypertensio,Poisoning (Occupational Poisoning),OP-Poisonings,Transport injuries (TA),Septiceamia,Home Injuries(Home Accidents and Injurie,Occupational Inju,Snake Bite,Other Animal Bite,Meningitis,DiarrhDise,Cardiac Diseases,Upper Respiratory Tract Infections,Referrals,,,,,
April 2008,Kulkpong CHPS,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Kundungu Health Centre,7,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Samuel Seidu Memorial Clinic,,,38,,,,,,,,,,3,1,,,2,,11,,,,,20,,16,11,,,,,
April 2008,Biitenge CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Bulenga Health Centre,6,0,132,,,,,,,,,,12,,,,4,,10,,2,1,,,,10,1,,,,,
May 2008,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Yaala Health Centre,2,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Jeyiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Kataa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Kpaglahi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Ducie CHPS,1,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Holomuni Health Centre,4,0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Goh CHPS,,,21,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,
May 2008,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Funsi Health Centre,2,0,73,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Buffiamah CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Danyawkura CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Katua CHPS,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Naaha Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Loggu Health Centre,1,1,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Kulkpong CHPS,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Kundungu Health Centre,10,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Samuel Seidu Memorial Clinic,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Biitenge CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Bulenga Health Centre,6,0,142,,,,,,,,,,6,1,,,,,5,,2,1,,3,,10,2,,,,,
June 2008,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Yaala Health Centre,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Jeyiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Kataa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Kpaglahi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Ducie CHPS,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Holomuni Health Centre,10,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Goh CHPS,,,3,,,,,,,,,,,,,,,,1,,,,,2,,2,5,,,,,
June 2008,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Funsi Health Centre,4,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Buffiamah CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Danyawkura CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Katua CHPS,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Naaha Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Loggu Health Centre,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Kulkpong CHPS,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Kundungu Health Centre,3,0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Samuel Seidu Memorial Clinic,,,34,,,,,,,,,,,1,,,1,,10,,,,,31,,,11,,,,,
June 2008,Biitenge CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Bulenga Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Yaala Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Jeyiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Kataa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Kpaglahi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Ducie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Holomuni Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Goh CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Funsi Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Buffiamah CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Danyawkura CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Katua CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Naaha Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Loggu Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Kulkpong CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Kundungu Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Samuel Seidu Memorial Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Biitenge CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Bulenga Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Yaala Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Jeyiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Kataa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Kpaglahi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Ducie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Holomuni Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Goh CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Funsi Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Buffiamah CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Danyawkura CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Katua CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Naaha Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Loggu Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Kulkpong CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Kundungu Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Samuel Seidu Memorial Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Biitenge CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Bulenga Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Yaala Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Jeyiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Kataa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Kpaglahi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Ducie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Holomuni Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Goh CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Funsi Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Buffiamah CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Danyawkura CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Katua CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Naaha Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Loggu Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Kulkpong CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Kundungu Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Samuel Seidu Memorial Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Biitenge CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Bulenga Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Yaala Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Jeyiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Kataa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Kpaglahi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Ducie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Holomuni Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Goh CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Funsi Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Buffiamah CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Danyawkura CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Katua CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Naaha Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Loggu Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Kulkpong CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Kundungu Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Samuel Seidu Memorial Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Biitenge CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Bulenga Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Yaala Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Jeyiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Kataa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Kpaglahi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Ducie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Holomuni Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Goh CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Funsi Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Buffiamah CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Danyawkura CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Katua CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Naaha Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Loggu Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Kulkpong CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Kundungu Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Samuel Seidu Memorial Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Biitenge CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Bulenga Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Yaala Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Jeyiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Kataa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Kpaglahi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Ducie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Holomuni Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Goh CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Funsi Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Buffiamah CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Danyawkura CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Katua CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Naaha Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Loggu Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Kulkpong CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Kundungu Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Samuel Seidu Memorial Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Biitenge CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Bulenga Health Centre,9,0,160,,,,,,,,,,1,,,,2,,9,,,,,,,12,4,,,,,
January 2009,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Yaala Health Centre,,,24,,,,,,,,,,3,1,,,1,,4,,1,,,10,,5,1,,,,,
January 2009,Jeyiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Kataa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Kpaglahi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Ducie CHPS,,,35,,,,,,,,,,,,,,2,,6,,,,,5,,10,,,,,,
January 2009,Holomuni Health Centre,,,19,,,,,,,,,,,,,,,,3,,,,,,,2,,,,,,
January 2009,Goh CHPS,,,7,,,,,,,,,,,,,,,,3,,,,,4,,9,,,,,,
January 2009,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Funsi Health Centre,7,0,81,,,2,,2,,,,,12,11,,,4,,11,,1,,,57,,49,14,,,,,
January 2009,Buffiamah CHPS,,,14,,,,,,,,,,,,,,,,2,,,,,,,10,1,,,,,
January 2009,Danyawkura CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Katua CHPS,,,19,,,,,,,,,,1,,,,2,,2,,,1,,15,,5,,,,,,
January 2009,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
