Period,Organisation unit,"Mothers, all deliveries",Total maternal deaths,ANC attendance,Caesarean section deliveries,Labour Referrals In,Labour Referrals Out,ANC Referrals In,ANC Referrals Out,Postnatal Referrals In,Postnatal Referrals Out,SevMalLabCom,SevMalNLabCom,Pneumonia,Hypertensio,Poisoning (Occupational Poisoning),OP-Poisonings,Transport injuries (TA),Septiceamia,Home Injuries(Home Accidents and Injurie,Occupational Inju,Snake Bite,Other Animal Bite,Meningitis,DiarrhDise,Cardiac Diseases,Upper Respiratory Tract Infections,Referrals,
July 2008,Baribari CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Case Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Vineyard Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Millennium Laafi Doog,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Urban West Health Centre (Bawku),,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Asikiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Mognori Health Centre,8,0,82,,,2,,5,,,,,,13,,,,,,,,,,54,,5,3,
July 2008,Tensungu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Bawku Presby Hospital,160,0,658,16,,,,,,,,,34,155,,,4,,1,,,12,,57,,304,,
August 2008,Urban (bawku) Health Centre,,,451,,,,,,,,,,,11,,,,,,,,,,79,,54,,
August 2008,Kuka CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Quality (bawku) Medical Centre,,,,,,,,,,,,,10,154,,,43,,,,,,,175,,,3,
August 2008,Gentiga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Bugre Corner Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Islam Matenity,4,0,12,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Baribari CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Case Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Vineyard Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Millennium Laafi Doog,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Urban West Health Centre (Bawku),,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Asikiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Mognori Health Centre,11,0,65,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Tensungu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Bawku Presby Hospital,233,1,764,20,,,,,,,,,21,166,,,11,,6,,,12,,213,,350,,
September 2008,Urban (bawku) Health Centre,,,526,,,,,2,,,,,7,13,,,1,,,,,,,106,,263,3,
September 2008,Kuka CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Quality (bawku) Medical Centre,,,,,,,,,,,,,36,205,,,31,,,,,,,167,,,,
September 2008,Gentiga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Bugre Corner Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Islam Matenity,13,0,45,,,,,,,,,,,27,,,,,,,,,,,,,,
September 2008,Baribari CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Case Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Vineyard Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Millennium Laafi Doog,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Urban West Health Centre (Bawku),,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Asikiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Mognori Health Centre,22,0,63,,,,,,,,,,,13,,,,,,,,,,42,,43,4,
September 2008,Tensungu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Bawku Presby Hospital,203,2,676,20,,4,,,,,,,13,207,,,21,,3,,,6,,69,,431,,
October 2008,Urban (bawku) Health Centre,,,495,,,,,,,,,,10,16,,,11,,4,,,,,176,,655,10,
October 2008,Kuka CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Quality (bawku) Medical Centre,,,,,,,,,,,,,3,188,,,17,,,,,1,,217,,,,
October 2008,Gentiga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Bugre Corner Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Islam Matenity,19,0,51,,,,,,,,,,,87,,,16,,,,,,,,,,,
October 2008,Baribari CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Case Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Vineyard Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Millennium Laafi Doog,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Urban West Health Centre (Bawku),,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Asikiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Mognori Health Centre,18,0,103,,,2,,2,,,,,,16,,,,,2,,,,,37,,164,2,
October 2008,Tensungu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Bawku Presby Hospital,178,0,627,18,,,,,,,,,3,137,,,17,,1,,,7,,14,,581,,
November 2008,Urban (bawku) Health Centre,,,412,,,,,,,,,,,14,,,,,,,,,,94,,487,,
November 2008,Kuka CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Quality (bawku) Medical Centre,,,,,,,,,,,,,6,155,,,31,,,,,,,175,,,4,
November 2008,Gentiga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Bugre Corner Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Islam Matenity,26,0,38,,,,,,,,,,,65,,,6,,,,,,,,,,,
November 2008,Baribari CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Case Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Vineyard Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Millennium Laafi Doog,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Urban West Health Centre (Bawku),,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Asikiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Mognori Health Centre,25,0,63,,,3,,2,,,,,,15,,,,,1,,,,,33,,105,2,
November 2008,Tensungu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Bawku Presby Hospital,158,0,475,26,,,,,,,,,2,172,,,13,,6,,,5,,11,,413,,
December 2008,Urban (bawku) Health Centre,,,381,,,2,,3,,,,,,42,,,6,,11,,,,,95,,388,4,
December 2008,Kuka CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Quality (bawku) Medical Centre,,,,,,,,,,,,,3,92,,,34,,,,,,,32,,,2,
December 2008,Gentiga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Bugre Corner Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Islam Matenity,16,0,60,,,,,,,,,,13,32,,,9,,,,,,,,,,,
December 2008,Baribari CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Case Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Vineyard Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Millennium Laafi Doog,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Urban West Health Centre (Bawku),,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Asikiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Mognori Health Centre,13,0,72,,,2,,3,,,,,,2,,,,,5,,,,,58,,103,,
December 2008,Tensungu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Bawku Presby Hospital,152,0,714,20,,17,,,,,,,8,342,,,20,,6,,,3,,10,,612,20,
January 2009,Urban (bawku) Health Centre,,,409,,,4,,5,,,,,5,7,,,14,,19,,,,,98,1,326,4,
January 2009,Kuka CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Quality (bawku) Medical Centre,,,,,,,,,,,,,19,138,,,53,,,,,2,,118,,,3,
January 2009,Gentiga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Bugre Corner Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Islam Matenity,14,0,110,,,,,,,,,,,43,,,13,,,,,,,,,,,
January 2009,Baribari CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Case Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Vineyard Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Millennium Laafi Doog,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Urban West Health Centre (Bawku),,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Asikiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Mognori Health Centre,12,0,95,,,2,,3,,,,,,22,,,1,,2,,,,,48,,44,6,
January 2009,Tensungu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2009,Bawku Presby Hospital,117,0,818,11,,16,,,,,,,8,107,,,37,,6,,,13,,21,,277,4,
February 2009,Urban (bawku) Health Centre,,,395,,,,,2,,,,,1,18,,,3,,8,,,,,141,,398,3,
February 2009,Kuka CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2009,Quality (bawku) Medical Centre,,,,,,,,,,,,,4,82,,,33,,,,,1,,35,,,,
February 2009,Gentiga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2009,Bugre Corner Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2009,Islam Matenity,15,0,97,,,1,,,,,,,,,,,24,,,,,,,,,,,
February 2009,Baribari CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2009,Case Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2009,Vineyard Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2009,Millennium Laafi Doog,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2009,Urban West Health Centre (Bawku),,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2009,Asikiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2009,Mognori Health Centre,15,0,62,,,3,,2,,,,,,8,,,2,,3,,,,,18,,18,3,
February 2009,Tensungu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2009,Bawku Presby Hospital,111,2,765,14,,4,,,,,,,16,104,,,7,,2,,,7,,7,,203,12,
March 2009,Urban (bawku) Health Centre,,,624,,,,,3,,,,,,6,,,7,,,,,,,108,,343,,
March 2009,Kuka CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2009,Quality (bawku) Medical Centre,,,,,,,,,,,,,8,83,,,16,,,,,,,47,,39,,
March 2009,Gentiga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2009,Bugre Corner Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2009,Islam Matenity,26,0,114,,,,,,,,,,,80,,,30,,,,,,,,,,,
March 2009,Baribari CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2009,Case Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2009,Vineyard Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2009,Millennium Laafi Doog,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2009,Urban West Health Centre (Bawku),,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2009,Asikiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2009,Mognori Health Centre,7,0,85,,,,,1,,,,,,8,,,,,,,,,,9,,50,,
March 2009,Tensungu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2009,Bawku Presby Hospital,174,0,997,24,,,,,,,,,5,75,,,32,,5,,,11,1,14,,277,9,
April 2009,Urban (bawku) Health Centre,1,0,440,,,2,,4,,,1,,1,11,,,2,,23,,,,,98,,354,3,
April 2009,Kuka CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2009,Quality (bawku) Medical Centre,,,,,,,,,,,,,8,66,,,17,,,,,,,61,,43,4,
April 2009,Gentiga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2009,Bugre Corner Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2009,Islam Matenity,23,0,107,,,,,,,,,,,37,,,15,,,,,,,,,,,
April 2009,Baribari CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2009,Case Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2009,Vineyard Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2009,Millennium Laafi Doog,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2009,Urban West Health Centre (Bawku),,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2009,Asikiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2009,Mognori Health Centre,11,0,165,,,,,,,,,,,6,,,,,,,,,,11,,43,,
April 2009,Tensungu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2009,Bawku Presby Hospital,166,3,860,21,,,,,,,,,13,76,,,16,,2,,,9,,15,,223,24,
May 2009,Urban (bawku) Health Centre,,,433,,,2,,5,,1,,,15,29,,,5,,,,,,,110,,524,59,
May 2009,Kuka CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2009,Quality (bawku) Medical Centre,,,,,,,,,,,,,13,61,,,17,,,,1,,,70,,11,,
May 2009,Gentiga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2009,Bugre Corner Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2009,Islam Matenity,21,0,118,,,1,,,,,,,,40,,,14,,,,,,,,,,,
May 2009,Baribari CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2009,Case Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2009,Vineyard Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2009,Millennium Laafi Doog,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2009,Urban West Health Centre (Bawku),,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2009,Asikiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2009,Mognori Health Centre,18,0,153,,,,,1,,,,,,22,,,,,,,,,,4,,33,,
May 2009,Tensungu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2009,Bawku Presby Hospital,91,1,760,12,,,,4,,,,,6,67,,,10,,1,,,6,,16,,98,9,
June 2009,Urban (bawku) Health Centre,,,399,,,2,,3,,1,,,,15,,,6,,4,,,,,139,,165,,
June 2009,Kuka CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2009,Quality (bawku) Medical Centre,,,,,,,,,,,,3431,7,,,,25,6,,,3,,,21,,8,2,
June 2009,Gentiga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2009,Bugre Corner Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2009,Islam Matenity,24,0,109,,,,,,,,,,,47,,,8,,,,,,,,,,,
June 2009,Baribari CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2009,Case Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2009,Vineyard Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2009,Millennium Laafi Doog,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2009,Urban West Health Centre (Bawku),,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2009,Asikiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2009,Mognori Health Centre,15,0,130,,,,,,,,,223,,13,,,,,2,,,,,18,,15,,
June 2009,Tensungu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2009,Bawku Presby Hospital,154,0,1107,20,,,,,,,,,29,180,,,16,,7,,,9,,38,,683,24,
July 2009,Urban (bawku) Health Centre,,,611,,,5,,5,,,1,5,4,39,,,2,,,,,,,257,,655,7,
July 2009,Kuka CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2009,Quality (bawku) Medical Centre,,,,,,,,,,,,,3,26,,,,,,,,,,22,,,,
July 2009,Gentiga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2009,Bugre Corner Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2009,Islam Matenity,18,0,110,,,1,,2,,,,,,,,,,,,,,,,,,,,
July 2009,Baribari CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2009,Case Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2009,Vineyard Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2009,Millennium Laafi Doog,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2009,Urban West Health Centre (Bawku),,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2009,Asikiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2009,Mognori Health Centre,18,0,163,,,1,,2,,,,,,10,,,,,,,,,,15,,33,3,
July 2009,Tensungu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2009,Bawku Presby Hospital,162,3,1163,21,,,,,,,,,15,110,,,15,,1,,,10,,21,,552,11,
August 2009,Urban (bawku) Health Centre,,,593,,,2,,4,,2,2,2,5,,,,4,,13,,,,,202,,939,5,
August 2009,Kuka CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2009,Quality (bawku) Medical Centre,,,,,,,,,,,,,10,35,,,15,,,,2,,,9,,,,
August 2009,Gentiga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2009,Bugre Corner Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
